Dist (kpc)     Dist Uncert    Eff     Exclusion      
2              0              0.28    0.8297405817389647
2              0.1            0.28    0.8300281841884537
2              0.2            0.28    0.8301667659767495
2              0.3            0.28    0.8304148298174644
2              0.4            0.28    0.8302168663693554
2              0.5            0.28    0.8301679574143751
4              0              0.28    0.6905011464901168
4              0.1            0.28    0.5519423470701419
4              0.2            0.28    0.5105284650640771
4              0.3            0.28    0.4761764361237788
4              0.4            0.28    0.43971255768147266
4              0.5            0.28    0.39284641113966645
6              0              0.28    0.6414137327602906
6              0.1            0.28    0.4534942080683777
6              0.2            0.28    0.3804808941267812
6              0.3            0.28    0.27992972962221785
6              0.4            0.28    0.22552899047918684
6              0.5            0.28    0.17165428990347775
8              0              0.28    0.8374902780999024
8              0.1            0.28    0.6777751398947397
8              0.2            0.28    0.32997003372709455
8              0.3            0.28    0.2374653304011125
8              0.4            0.28    0.093007465622849
8              0.5            0.28    0.01598241969758496
