Dist (kpc)     Eff     Exclusion      
5              0.3     0.9297601073566584
5              0.35    0.9364482882646392
5              0.4     0.9411910274570837
5              0.45    0.9529742184790501
5              0.5     0.9606322811283942
5              0.55    0.9645357998546483
5              0.6     0.9721312161649436
5              0.65    0.9757727676793533
5              0.7     0.978955391268607
5              0.75    0.9809730966160659
5              0.8     0.9830644553075969
10             0.3     0.7339585907049556
10             0.35    0.7729033400089198
10             0.4     0.8261549801068522
10             0.45    0.8420398671847271
10             0.5     0.8765880330288429
10             0.55    0.8928465843045489
10             0.6     0.9111109765555232
10             0.65    0.9211966254322661
10             0.7     0.9232007708669056
10             0.75    0.9348052677455018
10             0.8     0.940579520173518
15             0.3     0.5842466310083971
15             0.35    0.617949315217472
15             0.4     0.6585645070214494
15             0.45    0.6891280295727423
15             0.5     0.7185423630562967
15             0.55    0.7730003786856185
15             0.6     0.7987413555677939
15             0.65    0.82610649678519
15             0.7     0.8546239960436584
15             0.75    0.856810531098279
15             0.8     0.8759976363657543
20             0.3     0.4353488628745774
20             0.35    0.5166074785084493
20             0.4     0.5612040086911301
20             0.45    0.5521637714883589
20             0.5     0.6002887597575828
20             0.55    0.616470668917757
20             0.6     0.6517211718339918
20             0.65    0.68593117506204
20             0.7     0.7456003820352256
20             0.75    0.7779644190770838
20             0.8     0.7968237440876742
25             0.3     0.38417147806303353
25             0.35    0.33372337437999133
25             0.4     0.42222108207997866
25             0.45    0.5192048452017621
25             0.5     0.48566747102429375
25             0.55    0.5654466720811953
25             0.6     0.5854197988571654
25             0.65    0.6015056307458986
25             0.7     0.6226964726976649
25             0.75    0.64824520650573
25             0.8     0.6913353737703365
30             0.3     0.29857597552132586
30             0.35    0.32321755643621297
30             0.4     0.3664485445879123
30             0.45    0.390052108591051
30             0.5     0.532490258967601
30             0.55    0.4763827399836811
30             0.6     0.525070419591541
30             0.65    0.5155663420243232
30             0.7     0.58297336411737
30             0.75    0.6380548766609491
30             0.8     0.6752172849580074
35             0.3     0.44450396052484364
35             0.35    0.45727881795627834
35             0.4     0.4279603239182991
35             0.45    0.5252932054449946
35             0.5     0.4309855776127043
35             0.55    0.41737852743319526
35             0.6     0.5622369436732064
35             0.65    0.4260399047270512
35             0.7     0.4239107808053608
35             0.75    0.4963831221260464
35             0.8     0.6215631066644918
40             0.3     0.7604796176267228
40             0.35    0.6542581744653398
40             0.4     0.5363415019157571
40             0.45    0.6790092822098559
40             0.5     0.4924048590568043
40             0.55    0.50537522762069
40             0.6     0.7156467666392867
40             0.65    0.6464288041627633
40             0.7     0.6663544939800612
40             0.75    0.7299385897126516
40             0.8     0.6922880708885218
45             0.3     1.0            
45             0.35    0.9734050504988897
45             0.4     0.8296204255261036
45             0.45    0.9217700308251167
45             0.5     0.8518213129443605
45             0.55    0.9599107994490617
45             0.6     0.9696557392224354
45             0.65    0.6622656426415496
45             0.7     0.7260044556651274
45             0.75    0.9926506869496741
45             0.8     0.5028464953639873
50             0.3     0.9975497770325669
50             0.35    0.9895501714745406
50             0.4     0.9699561973311529
50             0.45    0.9818213893412788
50             0.5     0.9940765048258952
50             0.55    0.9862312966957228
50             0.6     0.848417711072943
50             0.65    0.7185470822042624
50             0.7     0.9332828937140986
50             0.75    0.8650085707041766
50             0.8     0.9276724917972216
